127.0.0.1 - - [13/Oct/2017:20:22:15 +0530] "GET /exam/login.html HTTP/1.1" 200 994
127.0.0.1 - - [13/Oct/2017:20:24:41 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:24:41 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:24:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:24:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:25:40 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=ashutosh&user_password=123&user_type=student HTTP/1.1" 200 4445
127.0.0.1 - - [13/Oct/2017:20:25:40 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:25:40 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:25:40 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:25:40 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:26:28 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=ashutosh&user_password=123&user_type=student HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:26:28 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:26:28 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:26:28 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:26:28 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=ashutosh&user_password=123&user_type=student HTTP/1.1" 200 4446
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:27:26 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:27:50 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=ashutosh&user_password=123&user_type=student HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:27:51 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:27:51 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:27:51 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:27:51 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:28:59 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=ashutosh&user_password=123&user_type=student HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:29:00 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:29:00 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:29:00 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:29:00 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:29:00 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:29:20 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:29:20 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:29:20 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:29:21 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:29:21 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:29:38 +0530] "GET /exam/register1.html?user_name=ashutosh&user_id=g4geniusk&user_password=a%5D%27&user_type= HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:29:38 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:29:38 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:29:38 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:29:38 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:30:08 +0530] "GET /exam/register.html HTTP/1.1" 200 1754
127.0.0.1 - - [13/Oct/2017:20:30:08 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:30:08 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:31:11 +0530] "GET /exam/register.html HTTP/1.1" 200 1778
127.0.0.1 - - [13/Oct/2017:20:31:11 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:31:11 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:31:11 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:31:38 +0530] "GET /exam/register.html HTTP/1.1" 200 1804
127.0.0.1 - - [13/Oct/2017:20:31:39 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:31:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:31:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:31:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [13/Oct/2017:20:31:42 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:32:20 +0530] "GET /exam/register1.html HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:32:20 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:32:20 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:32:20 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:32:20 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:32:39 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:32:39 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:32:39 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:32:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:32:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:33:13 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rocky123&user_password=123&user_type=student HTTP/1.1" 200 4412
127.0.0.1 - - [13/Oct/2017:20:33:13 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:33:13 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:33:13 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:33:13 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rocky123&user_password=123&user_type=student HTTP/1.1" 200 4479
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:33:54 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:34:22 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rock&user_password=123&user_type=student HTTP/1.1" 200 4479
127.0.0.1 - - [13/Oct/2017:20:34:22 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:34:22 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:34:22 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:34:22 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:38:04 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rock&user_password=123&user_type=student HTTP/1.1" 200 4192
127.0.0.1 - - [13/Oct/2017:20:38:04 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:38:04 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:38:04 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:38:05 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:38:05 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:38:35 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rocky123&user_password=123s&user_type=student HTTP/1.1" 200 4192
127.0.0.1 - - [13/Oct/2017:20:38:36 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:38:36 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:38:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:38:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "GET /exam/register1.html?user_name=rocky&user_id=rocky123&user_password=123s&user_type=student HTTP/1.1" 200 4235
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:38 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:40 +0530] "GET /exam/register1.html?user_name=&user_id=g4geniusk&user_password=&user_type= HTTP/1.1" 200 4235
127.0.0.1 - - [13/Oct/2017:20:39:40 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:39:40 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:39:40 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:40 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:58 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4235
127.0.0.1 - - [13/Oct/2017:20:39:58 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:39:58 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:39:58 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:39:58 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4248
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:45:04 +0530] "POST /exam/ExamApp HTTP/1.1" 200 265
127.0.0.1 - - [13/Oct/2017:20:45:24 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [13/Oct/2017:20:45:24 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4275
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:48:34 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4331
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:49:46 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "GET /exam/register1.html?user_name=ashoo&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4330
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:50:26 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:50:28 +0530] "GET /exam/login1.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:50:29 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:51:10 +0530] "GET /exam/login1.html HTTP/1.1" 200 1558
127.0.0.1 - - [13/Oct/2017:20:51:10 +0530] "GET /exam/style.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:51:10 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:51:10 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:51:25 +0530] "GET /exam/exam.html HTTP/1.1" 200 2589
127.0.0.1 - - [13/Oct/2017:20:51:25 +0530] "GET /exam/login1.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:51:25 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:51:26 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:54:38 +0530] "GET /exam/exam.html HTTP/1.1" 200 2624
127.0.0.1 - - [13/Oct/2017:20:54:38 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:54:38 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:55:21 +0530] "GET /exam/exam.html HTTP/1.1" 200 2717
127.0.0.1 - - [13/Oct/2017:20:55:21 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:55:21 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:57:17 +0530] "GET /exam/exam.html HTTP/1.1" 200 2795
127.0.0.1 - - [13/Oct/2017:20:57:17 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:57:17 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:58:20 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:58:30 +0530] "GET /exam/exam.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:58:30 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:20:59:23 +0530] "GET /exam/exam.html HTTP/1.1" 200 2872
127.0.0.1 - - [13/Oct/2017:20:59:23 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:59:23 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:00:08 +0530] "GET /exam/exam.html HTTP/1.1" 200 2885
127.0.0.1 - - [13/Oct/2017:21:00:09 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:00:09 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:00:45 +0530] "GET /exam/exam.html HTTP/1.1" 200 2916
127.0.0.1 - - [13/Oct/2017:21:00:45 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:00:45 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:01:55 +0530] "GET /exam/exam.html HTTP/1.1" 200 2916
127.0.0.1 - - [13/Oct/2017:21:01:56 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:01:56 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:02:36 +0530] "GET /exam/exam.html HTTP/1.1" 200 2918
127.0.0.1 - - [13/Oct/2017:21:02:36 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:02:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:02:53 +0530] "GET /exam/exam.html HTTP/1.1" 200 2918
127.0.0.1 - - [13/Oct/2017:21:02:53 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:02:53 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:03:25 +0530] "GET /exam/exam.html HTTP/1.1" 200 2956
127.0.0.1 - - [13/Oct/2017:21:03:25 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:03:25 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:04:10 +0530] "GET /exam/exam.html HTTP/1.1" 200 2954
127.0.0.1 - - [13/Oct/2017:21:04:11 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:04:11 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:04:40 +0530] "GET /exam/exam.html HTTP/1.1" 200 2967
127.0.0.1 - - [13/Oct/2017:21:04:40 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:04:40 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:06:38 +0530] "GET /exam/exam.html HTTP/1.1" 200 2991
127.0.0.1 - - [13/Oct/2017:21:06:39 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:06:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:06:57 +0530] "GET /exam/exam.html HTTP/1.1" 200 2991
127.0.0.1 - - [13/Oct/2017:21:06:57 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:06:57 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:10:18 +0530] "GET /exam/exam.html HTTP/1.1" 200 3077
127.0.0.1 - - [13/Oct/2017:21:10:18 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:10:18 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:11:59 +0530] "GET /exam/exam.html HTTP/1.1" 200 3136
127.0.0.1 - - [13/Oct/2017:21:11:59 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:11:59 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:12:36 +0530] "GET /exam/exam.html HTTP/1.1" 200 3136
127.0.0.1 - - [13/Oct/2017:21:12:36 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:12:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:13:09 +0530] "GET /exam/exam.html HTTP/1.1" 200 3091
127.0.0.1 - - [13/Oct/2017:21:13:09 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:13:09 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:14:08 +0530] "GET /exam/exam.html HTTP/1.1" 200 3190
127.0.0.1 - - [13/Oct/2017:21:14:08 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:14:08 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:14:32 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:14:39 +0530] "GET /exam/exam.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:14:39 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:17:23 +0530] "GET /exam/exam.html HTTP/1.1" 200 3206
127.0.0.1 - - [13/Oct/2017:21:17:23 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:21:17:23 +0530] "POST /exam/ExamApp HTTP/1.1" 200 293
127.0.0.1 - - [13/Oct/2017:21:22:18 +0530] "GET /exam/exam.html HTTP/1.1" 200 3230
127.0.0.1 - - [13/Oct/2017:21:22:18 +0530] "GET /exam/al.js HTTP/1.1" 304 -
